workday_person_id,term_code,fafsa_received,pell_amount,institutional_grant,loans,balance_due
WD35263419,2025SP,true,0,5754,3920,242
WD62629839,2025SP,true,0,528,0,1787
WD68691197,2025SP,false,0,1130,0,7045
WD85473642,2025SP,true,0,1080,0,758
WD73451830,2025SP,true,471,6065,0,3941
WD19802073,2025SP,true,3217,4090,4999,5162
WD74618928,2025SP,false,0,1632,0,-1854
WD09598918,2025SP,true,1585,5570,0,5312
WD11807458,2025SP,true,3264,3308,0,931
WD63004317,2025SP,false,0,2409,0,6644
WD88445527,2025SP,true,0,4574,0,3011
WD68784464,2025SP,true,0,5178,7798,8743
WD48663308,2025SP,false,0,1841,0,1386
WD83239325,2025SP,true,0,1904,0,-1139
WD48690883,2025SP,true,2370,650,0,1162
WD10549931,2025SP,true,3195,270,7836,8144
WD01125832,2025SP,true,2792,5496,0,3329
WD43018492,2025SP,true,0,1691,0,5477
WD62472363,2025SP,true,0,6513,5029,4338
WD80333898,2025SP,true,0,5167,0,-937
WD93011812,2025SP,true,0,2767,6457,-2156
WD29493813,2025SP,true,0,6455,0,6776
WD88042105,2025SP,false,0,1679,0,4552
WD28233956,2025SP,true,0,2678,5095,280
WD78596228,2025SP,false,0,1263,0,2231
WD91527160,2025SP,false,0,1878,0,-1702
WD95675698,2025SP,true,2053,200,0,6251
WD95882850,2025SP,true,0,6152,6868,8766
WD37855032,2025SP,false,0,1199,0,3640
WD58343246,2025SP,false,0,141,0,7625
WD73284721,2025SP,true,0,2726,3148,8877
WD04393823,2025SP,true,0,3932,6896,5466
WD12765648,2025SP,true,1953,4370,0,2295
WD40452091,2025SP,true,0,1186,7911,7054
WD67104785,2025SP,true,0,831,6357,1725
WD58904365,2025SP,true,0,1322,0,-2152
WD75713384,2025SP,false,0,815,0,8147
WD49344464,2025SP,false,0,1019,0,7208
WD93762786,2025SP,true,0,4994,0,5399
WD48521302,2025SP,true,0,3510,1587,5727
WD25017355,2025SP,true,1814,4108,602,5295
WD24202530,2025SP,true,1473,6508,0,-1969
WD60006681,2025SP,false,0,1249,0,-2042
WD71376900,2025SP,true,0,4053,3199,450
WD35530609,2025SP,true,0,432,7337,6452
WD34613362,2025SP,true,0,1500,0,-2049
WD59460996,2025SP,true,0,441,5066,3766
WD66953859,2025SP,true,2306,1441,2077,1938
WD55833077,2025SP,true,0,3301,1450,-2389
WD51234103,2025SP,true,0,1667,0,7736
WD52453961,2025SP,true,0,2913,0,-133
WD33600958,2025SP,true,0,5855,3944,1908
WD83049316,2025SP,false,0,402,0,7768
WD42660434,2025SP,true,0,3282,6341,6225
WD37534269,2025SP,true,0,4016,0,4604
WD35073266,2025SP,true,0,4127,376,7859
WD39607007,2025SP,true,2338,5978,6579,1674
WD66799900,2025SP,true,1704,514,6562,1435
WD51170790,2025SP,true,621,1015,5139,8110
WD93711689,2025SP,true,0,2017,26,-2398
WD10603886,2025SP,true,1799,5338,8274,-985
WD02959710,2025SP,true,910,2532,2742,8543
WD97770098,2025SP,true,0,5616,4327,7716
WD97647842,2025SP,true,0,2092,0,8101
WD46057833,2025SP,true,163,3132,3463,2600
WD40702376,2025SP,true,0,5381,4198,6376
WD26964044,2025SP,true,1445,1473,0,8264
WD24348706,2025SP,true,0,1795,1316,8880
WD81739161,2025SP,false,0,1736,0,6777
WD52929143,2025SP,true,460,4420,6918,3206
WD46841788,2025SP,true,0,1900,699,4749
WD34678237,2025SP,true,0,1049,0,3109
WD74039189,2025SP,true,0,5431,66,7554
WD69297432,2025SP,true,0,6059,0,5257
WD93363566,2025SP,true,0,6912,0,-520
WD95215296,2025SP,true,0,1765,3482,6267
WD42579489,2025SP,true,0,3612,387,2749
WD07137895,2025SP,false,0,2017,0,4756
WD41830376,2025SP,true,0,4834,0,-2019
WD82190419,2025SP,false,0,45,0,5196
WD05480934,2025SP,true,0,4903,0,8152
WD90009048,2025SP,true,539,621,0,-993
WD84624472,2025SP,true,0,2448,4875,-128
WD00843074,2025SP,false,0,1951,0,7674
WD71581843,2025SP,false,0,1875,0,8352
WD38706575,2025SP,false,0,1689,0,2804
WD29535830,2025SP,true,0,6501,2717,7952
WD19644698,2025SP,true,0,2287,0,2275
WD08472880,2025SP,false,0,508,0,2377
WD03240373,2025SP,false,0,1931,0,7014
WD03805519,2025SP,false,0,359,0,-579
WD51939456,2025SP,true,0,2195,0,-103
WD91224101,2025SP,true,0,1272,0,8821
WD89785389,2025SP,false,0,654,0,4356
WD38382559,2025SP,true,0,1594,3017,7677
WD06923063,2025SP,true,814,3993,0,6928
WD50202276,2025SP,false,0,1423,0,6233
WD81974947,2025SP,true,0,5360,0,3795
WD81289252,2025SP,true,0,5404,101,8458
WD46822860,2025SP,true,0,6796,0,-1142
WD07273947,2025SP,true,0,1292,558,606
WD04538874,2025SP,false,0,668,0,6113
WD35422857,2025SP,true,0,4534,4098,1379
WD64510179,2025SP,true,0,5130,0,-1681
WD79313339,2025SP,false,0,1790,0,-1313
WD73393005,2025SP,false,0,953,0,7608
WD90869196,2025SP,false,0,174,0,6292
WD32897034,2025SP,false,0,2406,0,7709
WD27139496,2025SP,true,0,635,0,569
WD18204922,2025SP,true,0,5436,0,3302
WD87294132,2025SP,true,0,2055,5290,5450
WD12738206,2025SP,true,0,1972,0,3445
WD13333786,2025SP,true,0,232,5650,2846
WD48481113,2025SP,true,0,3637,2142,2834
WD12718724,2025SP,true,0,5388,7345,7428
WD69643807,2025SP,true,0,4953,0,2939
WD40815946,2025SP,false,0,2371,0,-2143
WD28926997,2025SP,true,0,3688,0,-755
WD92322047,2025SP,true,0,2179,0,4838
WD17807950,2025SP,true,0,5391,5104,7899
WD11622206,2025SP,true,1104,2030,3719,5749
WD72991189,2025SP,true,0,4768,0,8337
WD18868363,2025SP,false,0,1773,0,6319
